10th,12th,Diploma Marks,Overall CGPA,overall,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical ,Domain,Computer Fundamentals,Coding ,Written English,PLACED STATUS
93,78,0,5.81,50.55,2,496,49,73,33,40,45,47,0,44,Maini Precision Products LTD
75.68,72.53,0,6.29,55.42,0,437,38,53,27,33,0,47,0,52,BankBazaar.com
73,73,0,6.91,61.61,0,388,31,47,20,27,30,27,0,30,Maini Precision Products LTD
80.16,83.33,0,5.65,48.97,4,442,33,20,40,40,45,40,0,54,Maini Precision Products LTD
88.32,70,0,6.81,60.61,0,448,42,33,53,40,40,27,0,32,None
75,63,0,3.89,31.39,0,277,29,27,20,40,0,0,0,0,None
76,0,56,4.42,36.72,0,479,53,53,60,47,0,60,0,49,None
61,0,0,1.98,12.30,0,479,49,47,40,60,0,33,0,71,None
59,60,0,4.48,37.30,4,429,38,40,20,53,0,33,0,65,None
83.52,74.16,0,7.62,68.70,0,441,36,47,27,33,0,27,0,55,None
90,60,0,6.10,53.46,1,326,33,53,13,33,0,1,0,0,Byjus
89.5,82,0,7.81,70.61,0,484,42,40,20,67,0,20,0,83,None
62.56,83.33,0,7.99,72.42,0,471,42,40,33,53,0,53,0,74,None
78,69,0,6.17,54.16,1,345,20,20,27,13,0,27,0,33,Byjus/PlanetSpark/Rupeek(Cocubes)
82.3,85,0,7.65,68.99,1,467,42,20,47,60,0,27,0,21,None
80,84,0,6.92,61.69,2,455,40,40,0,80,0,27,0,43,None
84.8,80.66,0,8.09,73.38,0,482,42,47,40,40,0,60,0,61,Elcamino Software Pvt Ltd/Seventh Sense/SSI People
75.6,76.8,0,8.06,73.09,0,505,58,73,47,53,0,20,0,20,TCS Ltd.(Ninja)
81.44,84.5,0,8.02,72.72,0,507,51,67,53,33,0,33,0,49,Phable Care/Vee Technologies
76,84,0,7.52,67.66,0,537,58,60,40,73,0,47,0,67,None
87.4,91,0,8.94,81.91,0,550,56,67,47,53,0,60,0,79,None
84,68,0,7.33,65.85,0,457,40,53,27,40,0,80,0,34,Elcamino Software Pvt Ltd
72,75,0,7.51,67.63,0,527,58,80,33,60,0,47,0,59,PlanetSpark/Quality Kiosk
70,70,0,7.31,65.59,0,406,31,27,27,40,0,33,0,32,Elcamino Software Pvt Ltd/TCS Ltd.
68.64,66,0,6.64,58.87,0,483,47,47,53,40,0,67,0,64,Elcamino Software Pvt Ltd
91.84,81.51,0,7.82,70.74,0,458,38,33,33,47,0,33,0,65,Elcamino Software Pvt Ltd
74.24,67.68,0,6.15,54.01,0,426,36,20,40,47,0,47,0,34,None
80,75.5,0,7.57,68.25,0,475,44,40,40,53,0,47,0,30,None
82.88,76.66,0,7.39,66.42,0,470,42,47,27,53,0,40,0,38,Elcamino Software Pvt Ltd
93.12,80,0,7.60,68.51,0,539,56,67,73,27,0,73,0,80,None
75,68,68,4.58,38.30,0,442,38,40,13,60,0,53,0,58,None
65,55,0,6.4,56.50,1,295,13,13,13,13,0,20,0,12,None
90,84,0,8.24,74.90,0,484,44,60,40,33,0,47,0,37,None
90.4,61,0,7.4,66.50,0,402,31,40,27,27,0,33,0,20,None
76.64,70.33,0,7,62.50,1,488,47,80,20,40,0,53,0,75,TCS LtD/Elcamino Software Pvt Ltd/Seventh Sense
84.32,83,0,6.5,57.50,0,458,42,53,13,60,0,33,0,22,None
56.67,52,0,6.2,54.50,0,343,22,20,20,27,0,13,0,42,None
92.16,79.5,0,7.93,71.80,0,552,60,67,60,53,0,67,0,67,None
100,82,0,7.3,65.50,1,444,36,33,40,33,0,53,14,71,None
92,84,0,8.2,74.50,0,489,47,60,27,53,0,33,0,50,Skolar/RL Institute of Nautical Science
93.44,85,0,9.56,88.10,0,537,53,60,40,60,0,40,0,76,None
76,72,0,6.65,59.00,0,424,27,7,27,47,0,33,0,82,Infosy Ltd./RL Institute of Nautical Science
77.74,61.6,0,6.29,55.40,1,318,29,20,33,33,0,20,0,25,None
60,58,0,6.2,54.50,3,429,40,60,27,33,0,40,0,36,None
94.5,63.16,0,7.23,64.80,0,509,53,53,47,60,0,60,0,47,Infosys Ltd./Capgemini/RL Institute of Nautical Science
95.84,82.5,0,8.5,77.50,0,302,29,33,27,27,0,40,0,0,Windcare India Pvt. Ltd./RL Institute of Nautical Science
89.44,81,0,7.75,70.00,0,397,33,20,20,60,0,27,0,67,Wipro Ltd.
84.64,87,0,8.6,78.50,0,507,49,47,33,67,0,73,0,38,RL Institute of Nautical Science
82.24,64.83,0,7.16,64.10,0,439,38,33,20,60,0,33,0,56,RL Institute of Nautical Science
85.5,71.6,0,7.3,65.50,0,445,38,60,20,33,0,67,0,34,SSI People/Pinclick
