10th(%),12th(%),Diploma Marks ,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
83.2,76.3,0,6.68,59.33,0,546,64,53,67,73,0,60,45,39,Novigo Solutions
87.04,68.83,0,6.31,55.61,0,496,51,53,33,67,40,53,10,45,None
92.64,79.83,0,7.81,70.63,0,508,47,60,20,60,65,60,10,60,Poornam Infovision
88.64,79.2,0,8.16,74.15,0,502,53,60,60,40,35,67,0,72,Robosoft Technologies Pvt. Ltd.
90,89,0,6.54,57.94,0,479,40,53,13,53,30,80,43,57,Novigo Solutions/ Infosys Ltd.
70.3,66,0,7.44,66.86,0,506,51,67,27,60,45,67,10,54, iWave Systems Technologies Pvt. Ltd/Infosys Ltd.
95,67.4,0,8.02,72.75,0,574,53,53,67,40,75,80,100,88,Poornam Infovision/Accenture/Kanini/Qspiders/FIS India Pvt.Ltd./Capgemini
8.4,58,0,7.48,67.29,0,553,69,47,80,80,40,60,0,72,PlanetSpark/Qspiders/Seventh Sense/Quality Kiosk/
86.08,71.16,0,7.54,67.94,0,515,51,60,20,73,35,60,10,59,Codilar Technologies Pvt. Ltd.
76.8,72,0,7.97,72.18,0,466,40,47,33,40,35,53,37,42,Infosys Ltd.
95,88,0,8.59,78.36,0,646,71,60,60,93,50,87,100,57, iWave Systems Technologies Pvt. Ltd./Accenture/Winman Software Pvt.Ltd.
85.5,82.83,0,6.9,61.49,0,556,64,53,53,87,0,73,17,65,Elcamino Software Pvt Ltd/Seventh Sense/Juego studio
89,78,0,7,62.54,0,481,47,60,40,40,0,40,0,45,None
92.4,74,0,7.04,62.94,0,508,51,47,60,47,30,47,7,68,Elcamino Software Pvt Ltd
80.96,87,0,7.33,65.76,0,549,60,40,73,67,35,53,38,68,SLK Software/Vyshnavi Information Technology
90,92,0,8.35,75.96,0,578,69,53,60,93,50,47,10,69,SLK Software/Accenture
82,73,0,6.97,62.21,3,483,42,80,0,47,50,80,58,62,Juego Studio/Hackwithinfy
81.92,77.33,0,7.61,68.57,0,528,53,47,47,67,40,60,24,59,None
82.24,72.66,0,7.17,64.2,0,526,56,73,40,53,45,40,36,51,Opteamix India Business Solutions
70,60,0,7.37,66.15,0,446,38,40,33,40,55,47,10,80,None
85,82,0,6.77,60.16,0,482,47,330,27,80,20,33,0,40,None
83,77,0,7.57,68.2,0,448,38,60,33,20,35,53,0,38,Poornam Infovision
70.3,60,0,7.28,65.34,0,463,42,47,20,60,40,53,0,54,None
66.24,51.83,0,6.11,53.6,0,422,38,27,40,47,25,27,0,36,None
72,55,0,6.85,61,0,526,64,67,47,80,50,53,0,44,Hexaware Technologies Pvt. Ltd./PlanetSpark
75,75,0,6.08,53.25,0,512,51,47,27,80,45,60,0,85,Evosys/Capgemini
91.68,79.6,0,7.98,72.28,0,500,47,47,47,47,35,60,19,47,None
89,78,0,8.01,72.64,0,452,33,33,7,60,30,53,10,70,Codilar Technologies Pvt. Ltd./Qspiders/Verzeo
93.6,83.1,0,7.36,66.14,0,535,53,73,20,67,45,60,10,66,"Infosys Ltd.,/SLK Software"
93.1,82,0,7.08,63.3,0,491,40,33,20,67,40,80,89,68,Robosoft Technologies Pvt. Ltd./
84,80.5,0,5.82,50.7,3,471,42,53,27,47,0,53,28,58,None
88.16,82.83,0,7.7,69.48,0,520,51,67,27,60,0,53,0,81, iWave Systems Technologies Pvt. Ltd
84.64,66.6,0,7.36,66.07,0,475,44,53,27,53,40,40,0,50,Infosys Ltd.
82,81,0,7.33,65.78,0,458,38,20,27,67,25,60,33,51,None
89.3,87.5,0,8.58,78.31,0,596,60,67,60,53,30,80,100,59,Codecraft Technologies Pvt. Ltd.
89,91,0,8.14,73.88,0,525,49,40,47,60,30,60,43,59, iWave Systems Technologies Pvt. Ltd
68.4,58,0,6.09,53.37,0,367,27,47,0,33,0,53,0,48,None
